     x             u(x)    
=============================
0.000000e+00     0.000000e+00
1.000000e-02     1.783012e-01
2.000000e-02     2.534034e-01
3.000000e-02     3.203183e-01
4.000000e-02     3.798251e-01
5.000000e-02     4.326286e-01
6.000000e-02     4.793668e-01
7.000000e-02     5.206169e-01
8.000000e-02     5.569012e-01
9.000000e-02     5.886921e-01
1.000000e-01     6.164174e-01
1.100000e-01     6.404639e-01
1.200000e-01     6.611817e-01
1.300000e-01     6.788875e-01
1.400000e-01     6.938680e-01
1.500000e-01     7.063825e-01
1.600000e-01     7.166658e-01
1.700000e-01     7.249300e-01
1.800000e-01     7.313675e-01
1.900000e-01     7.361519e-01
2.000000e-01     7.394407e-01
2.100000e-01     7.413761e-01
2.200000e-01     7.420869e-01
2.300000e-01     7.416897e-01
2.400000e-01     7.402899e-01
2.500000e-01     7.379830e-01
2.600000e-01     7.348552e-01
2.700000e-01     7.309846e-01
2.800000e-01     7.264420e-01
2.900000e-01     7.212913e-01
3.000000e-01     7.155904e-01
3.100000e-01     7.093916e-01
3.200000e-01     7.027423e-01
3.300000e-01     6.956854e-01
3.400000e-01     6.882596e-01
3.500000e-01     6.805001e-01
3.600000e-01     6.724387e-01
3.700000e-01     6.641040e-01
3.800000e-01     6.555221e-01
3.900000e-01     6.467164e-01
4.000000e-01     6.377084e-01
4.100000e-01     6.285172e-01
4.200000e-01     6.191602e-01
4.300000e-01     6.096533e-01
4.400000e-01     6.000107e-01
4.500000e-01     5.902454e-01
4.600000e-01     5.803690e-01
4.700000e-01     5.703920e-01
4.800000e-01     5.603241e-01
4.900000e-01     5.501739e-01
5.000000e-01     5.399492e-01
5.100000e-01     5.296571e-01
5.200000e-01     5.193041e-01
5.300000e-01     5.088959e-01
5.400000e-01     4.984378e-01
5.500000e-01     4.879345e-01
5.600000e-01     4.773904e-01
5.700000e-01     4.668093e-01
5.800000e-01     4.561947e-01
5.900000e-01     4.455498e-01
6.000000e-01     4.348776e-01
6.100000e-01     4.241806e-01
6.200000e-01     4.134611e-01
6.300000e-01     4.027213e-01
6.400000e-01     3.919632e-01
6.500000e-01     3.811885e-01
6.600000e-01     3.703987e-01
6.700000e-01     3.595953e-01
6.800000e-01     3.487797e-01
6.900000e-01     3.379528e-01
7.000000e-01     3.271159e-01
7.100000e-01     3.162699e-01
7.200000e-01     3.054156e-01
7.300000e-01     2.945539e-01
7.400000e-01     2.836854e-01
7.500000e-01     2.728108e-01
7.600000e-01     2.619307e-01
7.700000e-01     2.510455e-01
7.800000e-01     2.401559e-01
7.900000e-01     2.292621e-01
8.000000e-01     2.183646e-01
8.100000e-01     2.074638e-01
8.200000e-01     1.965600e-01
8.300000e-01     1.856533e-01
8.400000e-01     1.747443e-01
8.500000e-01     1.638329e-01
8.600000e-01     1.529195e-01
8.700000e-01     1.420043e-01
8.800000e-01     1.310874e-01
8.900000e-01     1.201690e-01
9.000000e-01     1.092493e-01
9.100000e-01     9.832830e-02
9.200000e-01     8.740619e-02
9.300000e-01     7.648308e-02
9.400000e-01     6.555905e-02
9.500000e-01     5.463419e-02
9.600000e-01     4.370858e-02
9.700000e-01     3.278230e-02
9.800000e-01     2.185540e-02
9.900000e-01     1.092795e-02
